emoji,name_ko,category,keywords_ko
🍦,아이스크림,음식,디저트;여름;달콤
🍫,초콜릿,음식,디저트;카카오;선물
🍎,과일,음식,사과;신선;아침
🥑,아보카도,음식,브런치;건강;토스트
🍙,주먹밥,음식,간편식;소풍;한입
🦦,수달,동물,귀여움;물;유유자적
🐱,고양이,동물,집사;냥이;반려
🐶,강아지,동물,산책;반려;충성
🐰,토끼,동물,귀;깡총;귀여움
🦊,여우,동물,영리함;숲;주황
🐻,곰,동물,포근함;겨울잠;큰몸
🐼,판다,동물,대나무;흑백;느긋
🐨,코알라,동물,나무;낮잠;느림
🦁,사자,동물,용기;갈기;리더
🐯,호랑이,동물,기세;줄무늬;힘
🐧,펭귄,동물,얼음;뒤뚱;남극
🦉,올빼미,동물,밤;지혜;야행성
🦜,앵무새,동물,수다;색;재잘
🐢,거북이,동물,느긋함;장수;꾸준
🐬,돌고래,동물,바다;점프;영리
🐳,고래,동물,바다;깊이;큰꿈
🦋,나비,동물,변화;날개;봄
🐝,꿀벌,동물,부지런;꿀;노랑
🌱,새싹,자연,성장;시작;식물
🌿,풀잎,자연,플랜테리어;초록;싱그러움
🌵,선인장,자연,식물;건조;단단함
🌸,벚꽃,자연,봄;분홍;산책
🌻,해바라기,자연,여름;노랑;햇빛
🌹,장미,자연,향기;빨강;낭만
🍀,네잎클로버,자연,행운;초록;발견
🍁,단풍,자연,가을;붉음;산책
🌊,파도,자연,바다;서핑;시원함
⛰️,산,자연,등산;정상;풍경
🏔️,설산,자연,겨울;고요;장엄
🌅,일출,자연,아침;새벽;시작
🌇,노을,자연,저녁;감성;하늘
🌙,달,자연,밤;고요;야행성
⭐,별,자연,밤하늘;빛남;꿈
🌈,무지개,자연,비온뒤;일곱빛;희망
☀️,태양,자연,맑음;에너지;낮
🔥,불꽃,감정,열정;몰입;에너지
✨,반짝임,감정,설렘;새것;빛
💛,하트,감정,애정;따뜻함;사랑
😎,선글라스,감정,쿨함;여유;자신감
🤓,안경,감정,공부;몰입;너드
😴,잠,감정,낮잠;휴식;이불
🤔,생각,감정,고민;호기심;질문
🥳,파티,감정,축하;모임;신남
🫠,녹아내림,감정,피곤;유머;밈
🚀,로켓,사물,도전;스타트업;속도
✈️,비행기,여행,여행;출국;하늘
🚂,기차,여행,기차여행;창밖;낭만
🚗,드라이브,여행,자동차;도로;바람
🗺️,지도,여행,탐험;계획;길찾기
🎒,배낭,여행,백패킹;여행;떠남
🏖️,해변,여행,휴양;모래;여름
🏛️,박물관,여행,전시;역사;관람
🖼️,전시,여행,미술관;그림;감상
🎡,놀이공원,여행,관람차;나들이;신남
🧭,나침반,여행,방향;모험;길
⌚,시계,사물,시간;약속;기록
💻,코딩,사물,개발;노트북;프로젝트
🤖,로봇,사물,AI;테크;미래
🔭,망원경,사물,별보기;우주;관측
🔬,현미경,사물,과학;탐구;실험
🧪,실험,사물,화학;시도;연구
🪴,화분,사물,플랜테리어;반려식물;초록
🕯️,캔들,사물,향초;분위기;저녁
🎁,선물,사물,기프트;마음;포장
🧸,인형,사물,포근함;애착;귀여움
📻,라디오,사물,아날로그;음악;감성
💿,LP,사물,바이닐;수집;음악
🛹,스케이트보드,사물,보드;거리;바람
🛼,롤러스케이트,사물,레트로;활강;신남
